col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49
N717,3,3,2,2,2,1,3,2,3,2,2,2,1,4,5,5,6,1,1,2,2,4,3,2,1,1,1,4,2,2,1,2,1,5,2,1,2,3,4,4,3,2,3,3,2,5,1,4,1
N718,5,5,1,1,1,5,1,1,3,1,1,1,1,1,2,1,1,6,5,3,1,4,1,1,1,5,1,1,1,2,1,1,1,1,5,5,1,1,1,1,4,5,1,1,4,1,2,1,1
N719,4,5,1,1,3,5,3,1,4,2,2,2,2,2,2,2,3,4,6,4,2,2,2,3,1,5,3,3,4,2,2,1,1,4,5,5,1,2,2,2,3,5,2,3,3,2,2,2,2
N720,5,2,2,3,1,3,3,2,3,1,2,4,2,3,3,2,2,5,3,6,2,2,2,2,1,3,2,2,2,2,1,2,1,5,5,5,2,2,4,4,5,3,2,3,5,1,4,1,1
N722,1,1,3,5,1,1,2,2,2,2,3,3,3,2,3,4,2,2,1,2,6,2,2,2,2,4,2,2,4,2,2,2,5,3,3,2,5,4,2,3,3,2,5,4,3,3,3,3,1
N723,4,3,2,1,1,1,3,5,2,3,2,3,2,2,4,2,3,3,1,2,1,6,4,5,1,3,4,1,2,5,1,3,3,1,4,2,1,2,2,2,3,4,1,1,1,4,1,4,2
N724,1,1,5,2,2,1,4,4,3,4,4,3,1,2,1,3,3,1,1,2,1,4,6,5,1,2,5,2,2,3,2,5,1,3,2,1,2,5,4,2,5,2,2,2,5,2,2,2,1
N725,3,1,3,2,2,2,2,5,2,3,3,2,3,2,1,2,3,2,1,3,3,5,5,6,2,4,3,3,3,5,2,5,3,3,4,2,2,5,3,2,2,2,2,2,3,2,2,2,1
N726,2,1,2,4,1,1,4,1,4,1,1,2,3,4,2,2,1,1,1,1,5,1,2,1,6,1,2,1,1,1,1,2,5,2,1,1,5,2,2,2,1,1,4,2,1,2,1,2,1
N727,5,5,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,5,2,2,2,2,2,2,2
N728,2,3,5,3,3,2,3,2,2,5,2,4,4,2,2,3,2,2,3,3,2,2,5,4,2,2,6,2,4,3,3,5,1,2,3,2,1,5,2,2,3,2,3,3,4,1,2,3,1
N729,2,3,3,5,2,1,5,1,4,3,2,3,2,5,2,2,4,1,1,3,5,2,2,1,1,2,2,6,2,2,1,3,3,5,2,1,4,4,4,5,3,2,5,5,2,4,3,1,1
N730,2,5,1,2,1,4,2,1,5,2,1,1,1,2,1,1,1,3,5,2,3,2,2,2,2,2,2,6,3,1,1,1,1,3,4,1,2,1,2,5,2,5,1,4,4,2,1,1,1
N732,3,1,1,3,1,1,1,5,1,1,2,1,1,2,5,1,5,2,2,4,1,5,3,3,2,3,3,3,3,6,1,4,2,4,5,3,1,3,3,2,3,2,1,2,4,3,4,3,1
N733,1,2,3,2,3,1,2,3,3,2,5,2,2,3,1,5,2,2,1,1,2,1,1,1,3,1,2,1,2,2,6,1,3,1,3,3,3,1,2,2,1,2,2,2,1,1,2,2,2
N734,2,1,5,4,2,1,3,2,3,5,3,2,3,2,2,2,2,1,1,1,2,3,5,5,2,3,5,3,2,3,1,6,3,4,3,2,2,5,4,2,4,1,2,2,4,2,2,1,1
N735,2,2,3,4,2,2,2,2,2,2,3,2,4,3,4,2,1,1,2,2,5,2,3,3,5,3,2,5,4,2,3,4,6,4,4,3,5,4,4,3,2,2,2,4,4,4,4,4,1
N736,4,3,3,4,2,2,4,2,5,2,3,5,2,5,3,2,4,2,4,5,3,3,3,3,1,3,2,4,2,3,1,3,3,6,4,3,5,3,5,5,5,3,3,5,5,4,5,2,2
N737,4,5,1,2,2,4,1,2,3,1,3,1,1,1,1,1,1,5,4,4,1,4,1,4,1,5,2,1,3,3,1,1,1,1,6,5,1,1,1,1,4,5,1,1,4,1,1,1,1
N739,5,4,1,3,2,5,1,2,3,1,2,3,1,1,2,1,1,5,5,5,1,2,1,3,1,5,2,2,2,2,1,1,1,2,4,6,1,1,2,2,4,5,1,2,4,1,3,1,1
N740,1,3,2,5,2,1,1,2,2,2,1,1,2,3,4,5,2,2,1,2,5,1,1,1,3,1,2,4,2,1,3,3,4,4,2,1,6,2,1,2,4,1,4,2,2,3,2,3,2
N741,2,2,5,3,2,2,5,3,2,5,4,3,4,3,3,3,4,3,2,3,4,3,5,5,2,2,5,4,2,3,1,5,3,3,4,2,2,6,3,2,3,2,4,2,2,2,2,2,2
N742,3,3,2,3,1,1,2,1,5,1,2,3,3,5,1,2,4,1,1,4,2,3,3,3,3,3,3,4,4,2,1,3,2,5,3,3,2,3,6,5,4,3,2,5,4,3,5,2,1
N743,3,4,3,4,2,2,4,2,5,1,1,5,1,4,3,1,2,3,3,5,3,2,2,1,2,4,2,5,3,1,1,1,1,5,3,4,2,1,4,6,5,3,2,3,5,4,5,1,1
N744,5,1,1,4,1,2,3,2,3,1,1,5,1,1,2,1,2,3,3,5,2,1,1,1,1,4,3,3,2,2,1,1,1,4,2,3,1,2,3,2,6,4,3,4,5,2,4,1,1
N745,3,5,1,1,2,3,1,1,4,1,1,2,1,1,1,3,2,4,3,2,1,3,1,1,1,5,2,2,4,2,2,1,1,1,5,5,1,1,1,3,3,6,2,2,2,2,2,2,1
N746,2,3,3,5,3,2,5,1,2,3,1,4,3,3,3,3,3,2,2,2,5,2,2,2,4,2,2,5,2,1,1,3,4,2,2,2,4,4,2,3,5,1,6,1,3,3,1,1,2
N747,2,2,4,4,4,2,4,2,5,3,2,4,2,4,3,2,3,2,2,3,3,2,2,2,2,2,3,4,4,3,2,2,3,4,5,3,3,3,5,4,4,2,3,6,3,2,5,3,3
N748,3,2,2,3,2,2,3,2,2,2,1,3,2,2,3,2,2,4,2,5,2,2,2,2,1,3,3,2,2,3,1,2,2,5,5,4,2,2,3,4,5,2,2,3,6,2,4,2,2
N749,3,2,3,3,3,2,5,4,4,1,3,5,3,2,5,5,5,1,1,3,5,4,3,2,3,3,2,4,2,4,2,3,2,5,2,2,4,3,4,5,2,3,3,2,3,6,3,5,2
N750,2,2,2,3,1,2,3,1,5,1,1,3,1,4,3,1,1,1,1,3,2,1,1,1,2,2,1,2,2,1,1,1,1,5,2,3,2,1,5,5,4,2,1,5,4,4,6,1,1
N751,2,3,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,2,3,2,4,5,3,1,3,2,4,3,2,3,3,3,5,5,2,3,4,3,3,3,3,4,3,5,3,5,3,6,3
N752,1,1,1,1,1,2,1,1,3,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6
