col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-0144bdd8 Carytown RTU-1 DischargePressure,,,,,,,,,inH₂O,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,08394,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,✓,12.0,,,,,,,,,,,,,✓,,sampled,,,,Number,Sean Green,✓,,✓,,,,,,,,,p:demo:r:23a44701-0144bdd8.zinc,,
✓,,,,,,,,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,,,✓,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,,,,,58694,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,✓,,,,,,,,,,,,,,✓,,,,,,,,,,,,Kimberly Smith,,,,,,,,,,,,p:demo:r:23a44701-092f16fa.zinc,,
,,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-e0edb850 Carytown RTU-1 Cool-2,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,39846,✓,2.0,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,✓,,,13.0,,,,,,,✓,,,✓,,,,,cov,,,,Bool,Jennifer Summers,,,✓,,,,,,,"off,on",,p:demo:r:23a44701-e0edb850.zinc,,
,,,,@p:demo:r:23a44701-3624929f Carytown Misc,,,,,@p:demo:r:23a44701-5c6fd964 Carytown Misc Occupancy,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,✓,✓,✓,,,,19219,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,,23.0,,,,,,,,,✓,,,,,,cov,,,,Bool,April Snyder,,,✓,,,,,,,"unocc,occ",,p:demo:r:23a44701-5c6fd964.zinc,,
,,,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,,,,@p:demo:r:23a44701-51b0b0ff Carytown ElecMeter-Main kWh,✓,,,✓,,,,,kWh,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,98177,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,,3.0,,,,,,,,,,,,,✓,,sampled,,,,Number,Dana Nguyen,,,✓,,,,,,,,,p:demo:r:23a44701-51b0b0ff.zinc,,
,,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-81534688 Carytown RTU-1 Cool-1,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,65450,✓,1.0,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,✓,,,3.0,,,,,,,✓,,,✓,,,,,cov,,,,Bool,Cheryl Bradley,,,✓,,,,,,,"off,on",,p:demo:r:23a44701-81534688.zinc,,
,,,,@p:demo:r:23a44701-cef6cd79 Carytown Main Lights,,,,,@p:demo:r:23a44701-cb53b843 Carytown Main Lights Status,,,✓,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,07369,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,,1.0,,,,,,,,,,✓,,,,,cov,,,,Bool,Walter Pratt,,,✓,,,,,,,"off,on",2.4$,p:demo:r:23a44701-cb53b843.zinc,,
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-f8856742 Carytown RTU-1 Fan,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,81915,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,✓,23.0,,,,,,,,,,✓,,,,✓,cov,,,,Bool,Bobby Flores,,,✓,,,,,,,"off,on",,p:demo:r:23a44701-f8856742.zinc,,
✓,,,,,✓,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,28775,,,@p:demo:r:23a44701-a89a6c66 Carytown,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasha Rodriguez,,,,,,✓,,,,,,,,
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,✓,,@p:demo:r:23a44701-d83664ec Carytown RTU-1 OutsideDamper,,,,,,,,,%,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,03849,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,,,30.0,,,,✓,,,,,,✓,,,,,cov,,,,Number,Michelle Kelley,,,✓,,,,,,,,,p:demo:r:23a44701-d83664ec.zinc,,
,✓,,,@p:demo:r:23a44701-7265b064 Carytown RTU-1,,,,,@p:demo:r:23a44701-3f2eb151 Carytown RTU-1 ReturnTemp,,,,,,,,,°F,@p:demo:r:23a44701-67faf4db Richmond,,,✓,,,,47084,✓,,@p:demo:r:23a44701-a89a6c66 Carytown,,New_York,,,✓,,13.0,,,,,,,,,,,,✓,✓,,sampled,,,,Number,Kimberly Maynard,,,✓,,,,,,,,,p:demo:r:23a44701-3f2eb151.zinc,,
✓,,,,,,,,✓,@p:demo:r:23a44701-cef6cd79 Carytown Main Lights,,,,,,,,,,@p:demo:r:23a44701-67faf4db Richmond,,,,,@p:demo:r:23a44701-092f16fa Carytown ElecMeter-Main,,62305,,,@p:demo:r:23a44701-a89a6c66 Carytown,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurie Wallace,,,,,,,,,,,,,,
,,,Weather in Richmond,,,,,,@p:demo:r:23a44701-1af1bca9 Richmond weather,,,,,,,,,,,,,,,,,51745,✓,,,,EST,,,,,,,,,,,,,,,,,,✓,,,,,,Number,Janice Johnston,,,✓,,,,,,,,,p:demo:r:23a44701-1af1bca9.zinc,✓,
,,,Richmond,,,,,,"@p:demo:r:23a44701-67faf4db Richmond, VA",,,,,,,,,,,,,,,,,01826,,,,,EST,,,,,,,,,,,,,,,,,,,,,,,,,Collin Lopez,,,,,,,,,,,,,,✓
