col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
52|52|4|2|1|2019-04-17|2019-04-26|9|5,,,,,,,,,,,,,,,,,,,,,,,,,,
53|53|4|0|1|2019-04-23|2019-04-29|6|1,,,,,,,,,,,,,,,,,,,,,,,,,,
54|54|3|0|1|2019-04-22|2019-04-26|4|5,,,,,,,,,,,,,,,,,,,,,,,,,,
55|55|4|0|1|2019-04-26|2019-05-05|9|7,,,,,,,,,,,,,,,,,,,,,,,,,,
56|56|4|2|1|2019-04-30|2019-05-06|6|1,,,,,,,,,,,,,,,,,,,,,,,,,,
57|57|4|2|1|2019-05-02|2019-05-09|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
58|58|4|0|1|2019-05-03|2019-05-09|6|4,,,,,,,,,,,,,,,,,,,,,,,,,,
59|59|4|0|1|2019-05-02|2019-05-09|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
60|60|3|0|1|2019-05-03|2019-05-10|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
61|61|0|0|1|2019-05-04|2019-05-11|7|6,,,,,,,,,,,,,,,,,,,,,,,,,,
62|62|0|0|1|2019-05-07|2019-05-11|4|6,,,,,,,,,,,,,,,,,,,,,,,,,,
63|63|3|2|1|2019-05-08|2019-05-13|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,
64|64|0|1|1|2019-05-10|2019-05-13|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
65|65|2|1|1|2019-05-13|2019-05-22|9|3,,,,,,,,,,,,,,,,,,,,,,,,,,
66|66|1|1|1|2019-05-17|2019-05-19|2|7,,,,,,,,,,,,,,,,,,,,,,,,,,
67|67|1|0|1|2019-05-18|2019-05-20|2|1,,,,,,,,,,,,,,,,,,,,,,,,,,
68|68|2|2|1|2019-05-20|2019-05-24|4|5,,,,,,,,,,,,,,,,,,,,,,,,,,
69|69|4|1|1|2019-05-22|2019-05-26|4|7,,,,,,,,,,,,,,,,,,,,,,,,,,
70|70|3|2|1|2019-05-22|2019-05-25|3|6,,,,,,,,,,,,,,,,,,,,,,,,,,
71|71|3|2|1|2019-05-23|2019-05-27|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,
72|72|4|2|1|2019-05-22|2019-05-27|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,
73|73|1|2|1|2019-05-22|2019-05-26|4|7,,,,,,,,,,,,,,,,,,,,,,,,,,
74|74|1|1|1|2019-05-23|2019-05-27|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,
75|75|2|2|1|2019-05-28|2019-06-01|4|6,,,,,,,,,,,,,,,,,,,,,,,,,,
76|76|0|1|1|2019-05-31|2019-06-07|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
77|77|2|0|1|2019-05-31|2019-06-07|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
78|78|0|0|1|2019-06-05|2019-06-12|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
79|79|4|1|1|2019-06-05|2019-06-13|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
80|80|1|0|1|2019-06-06|2019-06-10|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,
81|81|4|1|1|2019-06-11|2019-06-18|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
82|82|3|1|1|2019-06-13|2019-06-16|3|7,,,,,,,,,,,,,,,,,,,,,,,,,,
83|83|2|0|1|2019-06-14|2019-06-21|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
84|84|1|0|1|2019-06-14|2019-06-19|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,
85|85|4|0|1|2019-06-14|2019-06-22|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
86|86|4|0|1|2019-06-19|2019-06-26|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
87|87|2|2|1|2019-06-21|2019-06-26|5|3,,,,,,,,,,,,,,,,,,,,,,,,,,
88|88|4|1|1|2019-06-24|2019-07-03|9|3,,,,,,,,,,,,,,,,,,,,,,,,,,
89|89|4|0|1|2019-06-27|2019-07-05|8|5,,,,,,,,,,,,,,,,,,,,,,,,,,
90|90|0|1|1|2019-06-28|2019-07-06|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
91|91|2|1|1|2019-06-28|2019-07-01|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
92|92|4|1|1|2019-07-02|2019-07-05|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,
93|93|1|0|1|2019-07-05|2019-07-09|4|2,,,,,,,,,,,,,,,,,,,,,,,,,,
94|94|2|2|1|2019-07-06|2019-07-13|7|6,,,,,,,,,,,,,,,,,,,,,,,,,,
95|95|0|0|1|2019-07-09|2019-07-12|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,
96|96|0|2|1|2019-07-10|2019-07-18|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
97|97|1|1|1|2019-07-12|2019-07-18|6|4,,,,,,,,,,,,,,,,,,,,,,,,,,
98|98|2|0|1|2019-07-16|2019-07-19|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,
99|99|4|1|1|2019-07-26|2019-07-29|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
100|100|4|1|1|2019-07-27|2019-07-31|4|3,,,,,,,,,,,,,,,,,,,,,,,,,,
101|101|4|1|1|2019-07-27|2019-08-04|8|7,,,,,,,,,,,,,,,,,,,,,,,,,,
102|102|4|1|1|2019-07-31|2019-08-07|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
103|103|0|3|1|2019-08-01|2019-08-05|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,
104|104|4|3|1|2019-08-15|2019-08-17|2|6,,,,,,,,,,,,,,,,,,,,,,,,,,
105|105|1|3|1|2019-08-28|2019-09-04|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
106|106|2|1|1|2019-08-31|2019-09-05|5|4,,,,,,,,,,,,,,,,,,,,,,,,,,
107|107|0|1|1|2019-09-05|2019-09-11|6|3,,,,,,,,,,,,,,,,,,,,,,,,,,
108|108|0|3|1|2019-09-13|2019-09-22|9|7,,,,,,,,,,,,,,,,,,,,,,,,,,
109|109|0|3|1|2019-09-17|2019-09-21|4|6,,,,,,,,,,,,,,,,,,,,,,,,,,
110|110|0|4|1|2019-09-18|2019-09-20|2|5,,,,,,,,,,,,,,,,,,,,,,,,,,
111|111|3|3|1|2019-09-19|2019-09-22|3|7,,,,,,,,,,,,,,,,,,,,,,,,,,
112|112|4|3|1|2019-09-25|2019-10-02|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
113|113|4|1|1|2019-09-26|2019-10-01|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,
114|114|1|1|1|2019-09-26|2019-09-29|3|7,,,,,,,,,,,,,,,,,,,,,,,,,,
115|115|2|3|1|2019-09-27|2019-10-01|4|2,,,,,,,,,,,,,,,,,,,,,,,,,,
116|116|3|3|1|2019-09-27|2019-10-03|6|4,,,,,,,,,,,,,,,,,,,,,,,,,,
117|117|4|4|1|2019-09-30|2019-10-09|9|3,,,,,,,,,,,,,,,,,,,,,,,,,,
118|118|0|3|1|2019-10-02|2019-10-05|3|6,,,,,,,,,,,,,,,,,,,,,,,,,,
119|119|0|3|1|2019-10-07|2019-10-14|7|1,,,,,,,,,,,,,,,,,,,,,,,,,,
120|120|0|4|1|2019-10-10|2019-10-18|8|5,,,,,,,,,,,,,,,,,,,,,,,,,,
121|121|0|1|1|2019-10-11|2019-10-19|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
122|122|3|4|1|2019-10-11|2019-10-19|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
123|123|1|3|1|2019-10-16|2019-10-22|6|2,,,,,,,,,,,,,,,,,,,,,,,,,,
124|124|4|4|1|2019-10-17|2019-10-24|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
125|125|0|3|1|2019-10-22|2019-10-27|5|7,,,,,,,,,,,,,,,,,,,,,,,,,,
126|126|4|1|1|2019-10-23|2019-10-28|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,
127|127|0|3|1|2019-10-22|2019-10-26|4|6,,,,,,,,,,,,,,,,,,,,,,,,,,
128|128|1|3|1|2019-10-24|2019-10-31|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
129|129|0|4|1|2019-10-29|2019-11-05|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
130|130|0|3|1|2019-10-29|2019-11-05|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
131|131|0|3|1|2019-10-29|2019-11-06|8|3,,,,,,,,,,,,,,,,,,,,,,,,,,
132|132|2|1|1|2019-11-01|2019-11-04|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
133|133|4|1|1|2019-11-06|2019-11-14|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
134|134|2|3|1|2019-11-06|2019-11-15|9|5,,,,,,,,,,,,,,,,,,,,,,,,,,
135|135|3|4|1|2019-11-14|2019-11-18|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,
136|136|4|3|1|2019-11-22|2019-11-25|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
137|137|1|3|1|2019-11-22|2019-11-30|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
138|138|4|4|1|2019-11-25|2019-11-28|3|4,,,,,,,,,,,,,,,,,,,,,,,,,,
139|139|2|4|1|2019-11-27|2019-12-05|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
140|140|1|1|1|2019-11-29|2019-12-02|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
141|141|2|4|1|2019-12-07|2019-12-10|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,
142|142|1|1|1|2019-12-10|2019-12-12|2|4,,,,,,,,,,,,,,,,,,,,,,,,,,
143|143|1|4|1|2019-12-12|2019-12-20|8|5,,,,,,,,,,,,,,,,,,,,,,,,,,
144|144|0|4|1|2019-12-12|2019-12-19|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
145|145|0|4|1|2019-12-17|2019-12-23|6|1,,,,,,,,,,,,,,,,,,,,,,,,,,
146|146|1|1|1|2019-12-17|2019-12-25|8|3,,,,,,,,,,,,,,,,,,,,,,,,,,
147|147|1|3|1|2019-12-19|2019-12-24|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,
148|148|4|4|1|2019-12-19|2019-12-22|3|7,,,,,,,,,,,,,,,,,,,,,,,,,,
149|149|4|1|1|2019-12-21|2019-12-28|7|6,,,,,,,,,,,,,,,,,,,,,,,,,,
150|150|0|4|1|2019-12-20|2019-12-27|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
151|151|0|3|1|2019-12-20|2019-12-28|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
152|152|3|3|1|2019-12-24|2019-12-31|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
153|153|0|4|1|2019-12-24|2020-01-02|9|4,,,,,,,,,,,,,,,,,,,,,,,,,,
154|154|4|3|1|2019-12-25|2019-12-28|3|6,,,,,,,,,,,,,,,,,,,,,,,,,,
155|155|3|3|1|2019-12-26|2020-01-03|8|5,,,,,,,,,,,,,,,,,,,,,,,,,,
156|156|1|1|1|2019-12-27|2019-12-31|4|2,,,,,,,,,,,,,,,,,,,,,,,,,,
157|157|1|3|1|2020-01-01|2020-01-05|4|7,,,,,,,,,,,,,,,,,,,,,,,,,,
