col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
Sean Green,ocd-division/country:us/state:nd/county:grand_forks,Grand Forks County ND,,(701) 780-8201,"1427 Odonnell Rapids
North Troyport, NH 07035",Sean Green,1200 S 42nd St,,Grand Forks,ND,58201,10:00:00 - 05:00,18:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,11,"1427 Odonnell Rapids
North Troyport, NH 07035",,10:00 AM - 06:00 PM,,ho60314806,False,True,,,,poll70550119
Kimberly Smith,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",Kimberly Smith,210 2nd Ave. NW,,Mandan,ND,58554-3158,12:00:00 - 05:00,17:30:00 - 05:00,False,False,False,10-25-2016,10-25-2016,EV,12,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",,12:00 PM - 05:30 PM,,ho82218568,False,True,,,,poll95610056
Jennifer Summers,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,"76104 Marsh Crescent
Dennishaven, SD 85034",Jennifer Summers,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,17:30:00 - 05:00,False,False,False,10-26-2016,10-28-2016,EV,13,"76104 Marsh Crescent
Dennishaven, SD 85034",,09:30 AM - 05:30 PM,,ho82218568,False,True,,,,poll95610056
April Snyder,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,"0003 Grant Lakes
Port Karafort, SD 60619",April Snyder,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,13:00:00 - 05:00,False,False,False,10-29-2016,10-29-2016,EV,14,"0003 Grant Lakes
Port Karafort, SD 60619",,09:30 AM - 01:00 PM,,ho82218568,False,True,,,,poll95610056
Dana Nguyen,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",Dana Nguyen,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,17:30:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,15,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",,09:30 AM - 05:30 PM,,ho82218568,False,True,,,,poll95610056
Cheryl Bradley,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",Cheryl Bradley,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,13:00:00 - 05:00,False,False,False,11-05-2016,11-05-2016,EV,16,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",,09:30 AM - 01:00 PM,,ho82218568,False,True,,,,poll95610056
Walter Pratt,ocd-division/country:us/state:nd/county:morton,Morton County ND,,(701) 667-3300,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",Walter Pratt,210 2nd Ave. NW,,Mandan,ND,58554-3158,09:30:00 - 05:00,17:00:00 - 05:00,False,False,False,11-07-2016,11-07-2016,EV,17,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",,09:30 AM - 05:00 PM,,ho82218568,False,True,,,,poll95610056
Bobby Flores,ocd-division/country:us/state:nd/county:stark,Stark County ND,,(701) 456-7630,"30601 Hawkins Highway
Morashire, TX 28976",Bobby Flores,51 3rd Street East,,Dickinson,ND,58601,08:00:00 - 06:00,17:00:00 - 06:00,False,False,False,10-31-2016,11-03-2016,EV,18,"30601 Hawkins Highway
Morashire, TX 28976",,08:00 AM - 05:00 PM,,ho79998215,False,True,,,,poll97479369
Tasha Rodriguez,ocd-division/country:us/state:nd/county:stark,Stark County ND,,(701) 456-7630,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",Tasha Rodriguez,51 3rd Street East,,Dickinson,ND,58601,08:00:00 - 06:00,12:00:00 - 06:00,False,False,False,11-04-2016,11-04-2016,EV,19,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",,08:00 AM - 12:00 PM,,ho79998215,False,True,,,,poll97479369
Michelle Kelley,ocd-division/country:us/state:nd/county:stutsman,Stutsman County ND,,"(701) 252-9035, ext. 6351","76582 Vanessa Oval
New Richard, NE 68819",Michelle Kelley,511 2nd Ave. SE,Ste. 102,Jamestown,ND,58401-4298,08:00:00 - 05:00,17:00:00 - 05:00,False,False,False,10-24-2016,10-28-2016,EV,20,"76582 Vanessa Oval
New Richard, NE 68819",Ste. 102,08:00 AM - 05:00 PM,,ho61339843,False,True,,,,poll5355489
Kimberly Maynard,ocd-division/country:us/state:nd/county:stutsman,Stutsman County ND,,"(701) 252-9035, ext. 6351","7389 Alec Squares Suite 508
Port Jonathan, FL 50177",Kimberly Maynard,511 2nd Ave. SE,Ste. 102,Jamestown,ND,58401-4298,08:00:00 - 05:00,17:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,21,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",Ste. 102,08:00 AM - 05:00 PM,,ho61339843,False,True,,,,poll5355489
Laurie Wallace,ocd-division/country:us/state:nd/county:ward,Ward County ND,,(701) 857-6420,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",Laurie Wallace,225 SE Third St,1st Fl,Minot,ND,58701,10:00:00 - 05:00,18:00:00 - 05:00,False,False,False,10-31-2016,11-03-2016,EV,22,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",1st Fl,10:00 AM - 06:00 PM,,ho70525056,False,True,,,,poll95822054
