col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40
ABB VETCO,,0.0,,,, , ,,,,,,,,,,,,,,,"84331 Leonard Fort Suite 749
East Lisa, NY 43477",,,,,,,,,,,,,,,,,,
AGA Medical Corporatio,,2000000.0,,,, , ,,,,,,,,,,,,,,,"62281 Kathy Tunnel
Hudsonborough, VA 17819",,,,,,,,,,,,,,,,,,
AGCO,,1600000.0,,,, , ,,,,,,,,,,,,,,,"9927 Christina Burg Suite 774
East Angelaburgh, NM 97149",,,,,,,,,,,,,,,,,,
Scheme,,0.0,,,,Participation in Scheme To , ,,,,,,,,,,,,,,,"142 Warner View Suite 460
North Leslie, IA 45480",,,,,,,,,,,,,,,,,,
Oil Executives Plead Guilty,,0.0,,,, , ,,,,,,,,,,,,,,,"5240 Berry Centers
West Andrew, AR 03720",,,,,,,,,,,,,,,,,,
Aibel Group Ltd.,,4200000.0,,,, , ,,,,,,,,,,,,,,,"51056 Patricia Forge
Grahamstad, HI 85576",,,,,,,,,,,,,,,,,,
Airbus,,3900000000.0,,,,Foreign Bribery and ITAR , ,,,,,,,,,,,,,,,"0648 Malone Port Apt. 662
New Devonhaven, VA 92199",,,,,,,,,,,,,,,,,,
Telesystems Pjsc,,850000000.0,,,, , ,,,,,,,,,,,,,,,"23028 Jennifer Meadow Apt. 972
West Matthewfurt, SC 05261",,,,,,,,,,,,,,,,,,
Akzo Nobel Acknowledges Improper,,0.0,,,, , ,,,,,,,,,,,,,,,"2738 Martin Terrace Suite 547
Smithhaven, LA 72649",,,,,,,,,,,,,,,,,,
Three Subsidiaries Agree,,92000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,"984 Stephen Stravenue
South Michaelton, KY 97488",,,,,,,,,,,,,,,,,,
Alcoa World Alumi,,223000000.0,,,, , ,,,,,,,,,,,,,,,"Unit 4943 Box 8856
DPO AA 27891",,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0.0,,,, , ,,,,,,,,,,,,,,,"98522 Mathis Viaduct Apt. 909
West Michael, LA 42837",,,,,,,,,,,,,,,,,,
Mozambique,,2000000000.0,,,,$2 Billion Fraud and , ,,,,,,,,,,,,,,,"620 Ashley Mills Apt. 507
Julieborough, OH 56059",,,,,,,,,,,,,,,,,,
Alliance One International Inc.,,0.0,,,,Related FCPA Matters Involving , ,,,,,,,,,,,,,,,"212 Shelly Roads
Fischerview, LA 02288",,,,,,,,,,,,,,,,,,
Alstom,,772000000.0,,,, , ,,,,,,,,,,,,,,,"8885 Lee Tunnel Suite 208
Port Donna, OK 50851",,,,,,,,,,,,,,,,,,
Venezuelan Money Laundering Scheme,,0.0,,,, , ,,,,,,,,,,,,,,,"693 Michael Estate
Lake Michael, NM 03009",,,,,,,,,,,,,,,,,,
Florida Businessm,,0.0,,,, , ,,,,,,,,,,,,,,,"342 Miller Mission
Lake Jennifer, NY 92905",,,,,,,,,,,,,,,,,,
Employees of Military,,0.0,,,, , ,,,,,,,,,,,,,,,"71664 Kim Throughway
Chelsealand, AK 65056",,,,,,,,,,,,,,,,,,
Former Regional Director of ITXC Corp,,0.0,,,, , ,,,,,,,,,,,,,,,"66660 Gomez Port Apt. 945
South Thomashaven, AZ 11181",,,,,,,,,,,,,,,,,,
Venezuelan National Treasurer,,1000000000.0,,,, , ,,,,,,,,,,,,,,,"0131 Williams Ville Apt. 562
Richardberg, FL 53480",,,,,,,,,,,,,,,,,,
Florida,,0.0,,,,Participation in Foreign Bribery , ,,,,,,,,,,,,,,,"22708 Madison Spurs
Herringstad, OR 11353",,,,,,,,,,,,,,,,,,
Aon Corporatio,,1760000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,"3454 Holmes Motorway
Port Rachel, FL 05560",,,,,,,,,,,,,,,,,,
Plead Guilty,,0.0,,,, , ,,,,,,,,,,,,,,,"805 James Turnpike
Carrmouth, GA 93500",,,,,,,,,,,,,,,,,,
Avon Chi,,8000000.0,,,, , ,,,,,,,,,,,,,,,"8081 Smith Trail
North Ronaldstad, NV 44515",,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0.0,,,, , ,,,,,,,,,,,,,,,"125 Ian Crossroad Apt. 593
South Deannaport, MS 07347",,,,,,,,,,,,,,,,,,
Armor Holdings,,10200000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,"1607 Munoz River
Emilyshire, NH 54532",,,,,,,,,,,,,,,,,,
 ,,0.0,,,, , ,,,,,,,,,,,,,,,"3615 David Keys Apt. 269
West Stephenside, UT 65516",,,,,,,,,,,,,,,,,,
BAE Systems PLC,,400000000.0,,,, , ,,,,,,,,,,,,,,,"640 Mary Common
Michaelville, AZ 20721",,,,,,,,,,,,,,,,,,
Four Individuals,,800000000.0,,,,Involvement in Foreign Bribery , ,,,,,,,,,,,,,,,"PSC 4006, Box 5282
APO AE 23388",,,,,,,,,,,,,,,,,,
Baker Hughes Subsidiary,,11000000.0,,,, , ,,,,,,,,,,,,,,,"395 Timothy Road
Williamsbury, LA 43567",,,,,,,,,,,,,,,,,,
Retired U.S. Army Colonel Indicted,,0.0,,,, , ,,,,,,,,,,,,,,,"3267 Walter Dam
Cunninghamtown, OR 01239",,,,,,,,,,,,,,,,,,
Five Individuals,,0.0,,,, , ,,,,,,,,,,,,,,,"00580 Brandon Creek
Port Eric, MS 03966",,,,,,,,,,,,,,,,,,
Kickbacks,,0.0,,,, , ,,,,,,,,,,,,,,,"325 Amanda Cliffs Apt. 695
South Paulabury, MS 29996",,,,,,,,,,,,,,,,,,
Texas,,0.0,,,,Scheme to Bribe Officials , ,,,,,,,,,,,,,,,"PSC 3769, Box 1448
APO AA 71586",,,,,,,,,,,,,,,,,,
Guilty,,0.0,,,, , ,,,,,,,,,,,,,,,"40956 Amanda Walk Apt. 260
Simonfurt, CT 93980",,,,,,,,,,,,,,,,,,
Employees of Military,,0.0,,,, , ,,,,,,,,,,,,,,,"25762 Gill Creek Suite 525
Mccoyton, KS 23687",,,,,,,,,,,,,,,,,,
German Engineering Firm Bilfinger Resolves,,32000000.0,,,, , ,,,,,,,,,,,,,,,"6048 Johnson Loop Suite 635
East Daniel, GA 04593",,,,,,,,,,,,,,,,,,
Third Medical Device Company Resolves,,17200000.0,,,, , ,,,,,,,,,,,,,,,"1168 Gary Fords Apt. 308
Port Trevor, RI 96954",,,,,,,,,,,,,,,,,,
